id;first_name;last_name;email;phone_number;birth_date
1;Chet;Boyer;Osborne_Denesik@yahoo.com;Mexico aggregate;2021-03-20
2;Delfina;Stokes;Toy.Towne@gmail.com;productize Checking Account;2021-03-20
3;Astrid;Kuvalis;Nico_Bernier@yahoo.com;JSON Metal;2021-03-21
4;Amber;Berge;Santina50@hotmail.com;empowering transmit maximize;2021-03-20
5;Jayne;Thiel;Jackson_Lemke25@yahoo.com;Synergized redundant;2021-03-21
6;Elijah;Buckridge;Destiney.Schamberger@hotmail.com;USB;2021-03-21
7;Mireya;Hoppe;Aniya_Barton33@hotmail.com;Cape Verde program maximize;2021-03-20
8;Felipe;Walter;Ines17@hotmail.com;Principal USB;2021-03-20
9;Jackson;Schneider;Amiya_Erdman@yahoo.com;partnerships;2021-03-20
10;Joesph;Walker;Mckayla84@gmail.com;deposit Saudi Riyal invoice;2021-03-20
